Force Input,Fx,Fy,Fz,Mx,My,Mz,Disturbance Force,Fx,Fy,Fz,Mx,My,Mz,Velocity,Lx,Ly,Lz,Ax,Ay,Az,Distance,front,left,right
,-9.397748731280666,100.01408457829841,-94.31778179492633,-10.294251654885178,-22.25352262908298,-30.39339810985393,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0911441474936166,0.017234384042664204,0.0,0.0,0.0,-0.15920892083886168,, 0.0675742, 0.233313, 0.401187
,-9.397748731280666,100.01408457829841,-94.31778179492633,-10.294251654885178,-22.25352262908298,-30.39339810985393,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0911441474936166,0.017234384042664204,0.0,0.0,0.0,-0.15920892083886168,, 0.0675742, 0.233313, 0.401187
,-9.397748731280666,100.01408457829841,-94.31778179492633,-10.294251654885178,-22.25352262908298,-30.39339810985393,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0911441474936166,0.017234384042664204,0.0,0.0,0.0,-0.15920892083886168,, 0.0675742, 0.233313, 0.401187
,-9.397748731280666,100.01408457829841,-94.31778179492633,-10.294251654885178,-22.25352262908298,-30.39339810985393,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0911441474936166,0.017234384042664204,0.0,0.0,0.0,-0.15920892083886168,, 0.0692641, 0.225032, 0.409004
,-1.3264595149773555,89.9388089888066,-101.96132328179993,-6.5862442592078505,-23.553709313655066,-31.128389339256334,,0.0,0.0,0.0,0.0,0.0,0.0,,0.07068172575097306,0.09279299524305215,0.0,0.0,0.0,-0.25253488602383545,, 0.0692641, 0.225032, 0.409004
,-1.3264595149773555,89.9388089888066,-101.96132328179993,-6.5862442592078505,-23.553709313655066,-31.128389339256334,,0.0,0.0,0.0,0.0,0.0,0.0,,0.07068172575097306,0.09279299524305215,0.0,0.0,0.0,-0.25253488602383545,, 0.0692641, 0.225032, 0.409004
,-1.3264595149773555,89.9388089888066,-101.96132328179993,-6.5862442592078505,-23.553709313655066,-31.128389339256334,,0.0,0.0,0.0,0.0,0.0,0.0,,0.07068172575097306,0.09279299524305215,0.0,0.0,0.0,-0.25253488602383545,, 0.0692641, 0.225032, 0.409004
,-1.3264595149773555,89.9388089888066,-101.96132328179993,-6.5862442592078505,-23.553709313655066,-31.128389339256334,,0.0,0.0,0.0,0.0,0.0,0.0,,0.07068172575097306,0.09279299524305215,0.0,0.0,0.0,-0.25253488602383545,, 0.0723668, 0.213278, 0.419931
,27.18278735419704,72.91710851217971,-121.02382727148304,0.788680276215423,-26.430143403260683,-25.838114655177414,,0.0,0.0,0.0,0.0,0.0,0.0,,0.07941339342567981,0.15412579538923535,0.0,0.0,0.0,-0.310722322857082,, 0.0723668, 0.213278, 0.419931
,27.18278735419704,72.91710851217971,-121.02382727148304,0.788680276215423,-26.430143403260683,-25.838114655177414,,0.0,0.0,0.0,0.0,0.0,0.0,,0.07941339342567981,0.15412579538923535,0.0,0.0,0.0,-0.310722322857082,, 0.0723668, 0.213278, 0.419931
,27.18278735419704,72.91710851217971,-121.02382727148304,0.788680276215423,-26.430143403260683,-25.838114655177414,,0.0,0.0,0.0,0.0,0.0,0.0,,0.07941339342567981,0.15412579538923535,0.0,0.0,0.0,-0.310722322857082,, 0.0723668, 0.213278, 0.419931
,27.18278735419704,72.91710851217971,-121.02382727148304,0.788680276215423,-26.430143403260683,-25.838114655177414,,0.0,0.0,0.0,0.0,0.0,0.0,,0.07941339342567981,0.15412579538923535,0.0,0.0,0.0,-0.310722322857082,, 0.0769844, 0.202604, 0.429884
,44.14116523542041,60.28302119993875,-132.96383353705812,3.542431454232741,-28.331567547677036,-18.528605480964398,,0.0,0.0,0.0,0.0,0.0,0.0,,0.11334313627633404,0.2033856742237956,0.0,0.0,0.0,-0.326370160916949,, 0.0769844, 0.202604, 0.429884
,44.14116523542041,60.28302119993875,-132.96383353705812,3.542431454232741,-28.331567547677036,-18.528605480964398,,0.0,0.0,0.0,0.0,0.0,0.0,,0.11334313627633404,0.2033856742237956,0.0,0.0,0.0,-0.326370160916949,, 0.0769844, 0.202604, 0.429884
,44.14116523542041,60.28302119993875,-132.96383353705812,3.542431454232741,-28.331567547677036,-18.528605480964398,,0.0,0.0,0.0,0.0,0.0,0.0,,0.11334313627633404,0.2033856742237956,0.0,0.0,0.0,-0.326370160916949,, 0.0769844, 0.202604, 0.429884
,44.14116523542041,60.28302119993875,-132.96383353705812,3.542431454232741,-28.331567547677036,-18.528605480964398,,0.0,0.0,0.0,0.0,0.0,0.0,,0.11334313627633404,0.2033856742237956,0.0,0.0,0.0,-0.326370160916949,, 0.0769844, 0.202604, 0.429884
